Project ID,Project Name,Team ID,Team Name,Backlog ID,Backlog Level Name,Rank,Work Item Count Limit
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,85427298-0b79-4fe7-8900-fe0b688f1fe2,Active Roles Team,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e24ea1d-4bfc-4cae-9e19-a1b74e8e022e,ArchitectureBoard,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,Microsoft.EpicCategory,Epics,4,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,Microsoft.RequirementCategory,Backlog items,2,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,1e1f1993-5bd2-4383-9417-ee32039b19b7,BUD Escalation,Microsoft.TaskCategory,Tasks,1,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,Microsoft.FeatureCategory,Features,3,1000
e988dcfc-e57b-4c11-8116-ca1eef9be0d2,Active Roles,056730a2-5806-43ac-8251-8ad42b541145,BUD Team1,Custom.262050fd-694d-444f-9018-e89a33a34f25,Initiatives,5,1000
