Project ID,Project Name,Backlog Level Name,Backlog Level Type,WIT Ref Names,WIT Display Names,Item Limit
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Initiatives,Portfolio,Initiative,Initiative,1000
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Epics,Portfolio,Epic,Epic,1000
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Features,Portfolio,Feature,Feature,1000
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Backlog items,Requirement,Product Backlog Item,Product Backlog Item,1000
0dc08af7-d2d0-4a86-b50c-0114295cfdea,Starling,Tasks,Task,Task,Task,1000
