Project ID,Project Name,Backlog Level Name,Backlog Level Type,WIT Ref Names,WIT Display Names,Item Limit
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,Initiatives,Portfolio,Initiative,Initiative,1000
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,Epics,Portfolio,Epic,Epic,1000
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,Features,Portfolio,Feature,Feature,1000
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,Backlog items,Requirement,Product Backlog Item,Product Backlog Item,1000
a5f118e8-f2a6-430e-9c05-8d9c709a2342,PgM Sandbox,Tasks,Task,Task,Task,1000
