Reference Name,Display Name,Description,Type,Usage,Is Queryable,Can Sort By,Is Identity,Is Picklist,Picklist ID,Is Picklist Suggested,Read Only,Is Locked,Supported Operations Count,URL
Custom.TFSId,TFSId,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.TFSId
ScrumforPAM.Theme,Theme,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/ScrumforPAM.Theme
Microsoft.VSTS.Common.TimeCriticality,Time Criticality,How does the business value decay over time. Higher values make the epic more time critical,double,workItem,True,True,False,False,,False,False,False,15,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.TimeCriticality
System.Title,Title,Stories affected and how,string,workItem,True,True,False,False,,False,False,False,21,https://dev.azure.com/1id/_apis/wit/fields/System.Title
Microsoft.VSTS.Common.Triage,Triage,Status of triaging the bug,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.Triage
Custom.TShirtSize,TShirtSize,,string,workItem,True,True,False,True,15b160ed-4c41-4aa8-b251-4553adaad1ee,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.TShirtSize
Custom.Type,Type,Type of Integration,string,workItem,True,True,False,True,3440571e-ad63-491d-9795-a57bbd5ba722,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.Type
Custom.Urgency,Urgency,,string,workItem,True,True,False,True,8f86a1d1-fd59-457a-b68c-5368a8b1b961,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.Urgency
Microsoft.VSTS.CMMI.UserAcceptanceTest,User Acceptance Test,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.CMMI.UserAcceptanceTest
Custom.ValidationTestPlan,Validation Test Plan,Summary of the testing performed which certify that the changes being made are stable and ready for release.,html,workItem,True,False,False,False,,False,False,False,2,https://dev.azure.com/1id/_apis/wit/fields/Custom.ValidationTestPlan
Microsoft.VSTS.Common.ValueArea,Value Area,The type should be set to Business primarily to represent customer-facing issues. Work to change the architecture should be added as a User Story,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Microsoft.VSTS.Common.ValueArea
Custom.VerifiedIn,VerifiedIn,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.VerifiedIn
Custom.Viper,Viper,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/Custom.Viper
System.Watermark,Watermark,,integer,workItem,True,True,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.Watermark
System.WorkItemForm,Work Item Form,,plainText,workItem,False,False,False,False,,False,True,False,2,https://dev.azure.com/1id/_apis/wit/fields/System.WorkItemForm
System.WorkItemFormId,Work Item FormID,,integer,workItem,False,False,False,False,,False,True,False,14,https://dev.azure.com/1id/_apis/wit/fields/System.WorkItemFormId
System.WorkItemType,Work Item Type,,string,workItem,True,True,False,False,,False,False,False,19,https://dev.azure.com/1id/_apis/wit/fields/System.WorkItemType
