Project ID,Project Name,Team ID,Team Name,Bug Behavior,Bug Behavior Label,Working Days,Backlog Iteration Path,Default Iteration Path,Default Iteration Macro,Initiatives Visible,Epics Visible,Features Visible,Stories Visible
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,c0213924-aa44-464c-9fee-611149f9cb3b,Admins,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,202f47aa-2095-4c3e-b642-578d4f82d07a,Authentication Services Team,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,\2026\2026.03 Sprint 2,@currentIteration,,True,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,2cf463c6-fe7e-42a7-816a-20d18f35a66a,Privilege Access Suite for Unix,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,True,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,f93456b4-36f4-48b7-8731-acd04d12f5b5,QPM,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,add17d8f-2b91-4bbf-a40d-d13857c03bf8,SAS Optional Review,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,12877cd6-2a93-4104-82bf-f187d04e166b,SAS Required Review,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,7e48b4b5-e287-41c3-8dbb-9a4566d6e8ee,Shared UI,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,@currentIteration,,False,True,True
a1ef767e-b1fa-4401-8fdc-f90c024b2493,Authentication Services,428f618c-fb7d-4855-b0c6-ae866f1c29fe,Technical Writers,asRequirements,With Stories,"monday, tuesday, wednesday, thursday, friday",,,,,False,True,True
