Project ID,Project Name,Backlog Level Name,Backlog Level Type,WIT Ref Names,WIT Display Names,Item Limit
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Epics,Portfolio,Epic,Epic,1000
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Features,Portfolio,Feature,Feature,1000
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Backlog items,Requirement,Product Backlog Item,Product Backlog Item,1000
06563b5a-8342-4b3e-9e7a-c43001706a81,Global Enablement,Tasks,Task,Task,Task,1000
